["012345678", 0]
["102345678", 1]
["312045678", 1]
["312405678", 2]
["120345678", 2]
["142305678", 2]
["312645078", 2]
["142350678", 3]
["312450678", 3]
["302415678", 3]
["142035678", 3]
["312475608", 3]
["125340678", 3]
["312645708", 3]
["142375608", 3]
["142358670", 4]
["312605748", 4]
["125304678", 4]
["312475680", 4]
["320415678", 4]
["312458670", 4]
["312475068", 4]
["142635078", 4]
["142375680", 4]
["310452678", 4]
["125348670", 4]
["312645780", 4]
["032415678", 4]
["140352678", 4]
["042135678", 4]
["142375068", 4]
["312640785", 5]
["312075468", 5]
["142358607", 5]
["125348607", 5]
["125034678", 5]
["105324678", 5]
["104352678", 5]
["125374608", 5]
["312458607", 5]
["142370685", 5]
["325410678", 5]
["302615748", 5]
["301452678", 5]
["402135678", 5]
["312650748", 5]
["432015678", 5]
["312065748", 5]
["142075368", 5]
["312470685", 5]
["142635708", 5]
["125348067", 6]
["142307685", 6]
["142308657", 6]
["142705368", 6]
["125374680", 6]
["031452678", 6]
["142358067", 6]
["325418670", 6]
["310642785", 6]
["154302678", 6]
["320615748", 6]
["015324678", 6]
["310472685", 6]
["140372685", 6]
["312458067", 6]
["312407685", 6]
["325401678", 6]
["142605738", 6]
["125634078", 6]
["432615078", 6]
["042175368", 6]
["420135678", 6]
["150324678", 6]
["432105678", 6]
["125374068", 6]
["025134678", 6]
["142635780", 6]
["012365748", 6]
["012375468", 6]
["032615748", 6]
["312705468", 6]
["014352678", 6]
["312408657", 6]
["351402678", 6]
["310652748", 6]
["312604785", 6]
["125308647", 6]
["312765048", 6]
["312658740", 6]
["432150678", 7]
["351472608", 7]
["125074368", 7]
["315024678", 7]
["102645738", 7]
["432615708", 7]
["351042678", 7]
["305421678", 7]
["154320678", 7]
["301642785", 7]
["351420678", 7]
["302614785", 7]
["142058367", 7]
["142630785", 7]
["312750468", 7]
["302418657", 7]
["104372685", 7]
["312480657", 7]
["142750368", 7]
["312487605", 7]
["154032678", 7]
["125634708", 7]
["425130678", 7]
["142037685", 7]
["325041678", 7]
["125048367", 7]
["125370684", 7]
["205134678", 7]
["432175608", 7]
["142065738", 7]
["102365748", 7]
["102348657", 7]
["154372608", 7]
["125380647", 7]
["325610748", 7]
["142380657", 7]
["142387605", 7]
["142765308", 7]
["431052678", 7]
["105328647", 7]
["142650738", 7]
["312658704", 7]
["632015748", 7]
["102745368", 7]
["402175368", 7]
["312684705", 7]
["312765408", 7]
["314052678", 7]
["325471608", 7]
["325418607", 7]
["301652748", 7]
["102347685", 7]
["312048657", 7]
["312058467", 7]
["301472685", 7]
["312064785", 7]
["302417685", 7]
["302715468", 7]
["312047685", 7]
["142038657", 7]
["102375468", 7]
["125038647", 7]
["312764085", 8]
["140652738", 8]
["632715048", 8]
["425103678", 8]
["035421678", 8]
["432615780", 8]
["125387640", 8]
["432175068", 8]
["325601748", 8]
["120375684", 8]
["431652078", 8]
["430152678", 8]
["032417685", 8]
["031642785", 8]
["632105748", 8]
["341602785", 8]
["315204678", 8]
["150328647", 8]
["312684750", 8]
["325408617", 8]
["312758460", 8]
["120348657", 8]
["431502678", 8]
["351642078", 8]
["142765380", 8]
["371402685", 8]
["125638047", 8]
["320614785", 8]
["042165738", 8]
["142603785", 8]
["012358467", 8]
["351472680", 8]
["314502678", 8]
["051342678", 8]
["315624078", 8]
["310752468", 8]
["012645738", 8]
["320418657", 8]
["125704368", 8]
["420175368", 8]
["320715468", 8]
["325418067", 8]
["312684075", 8]
["325471680", 8]
["154372680", 8]
["120375468", 8]
["320417685", 8]
["154632078", 8]
["154372068", 8]
["314652078", 8]
["014372685", 8]
["325471068", 8]
["351602748", 8]
["120347685", 8]
["142758360", 8]
["351472068", 8]
["312658074", 8]
["025174368", 8]
["125408367", 8]
["162305748", 8]
["235104678", 8]
["120385647", 8]
["012364785", 8]
["142658730", 8]
["031472685", 8]
["425138670", 8]
["042138657", 8]
["015328647", 8]
["042158367", 8]
["312487065", 8]
["432158670", 8]
["054132678", 8]
["174302685", 8]
["032715468", 8]
["142387065", 8]
["312487650", 8]
["142637085", 8]
["120365748", 8]
["432175680", 8]
["125307684", 8]
["325618740", 8]
["120745368", 8]
["120645738", 8]
["312608754", 8]
["012347685", 8]
["042137685", 8]
["031652748", 8]
["351428670", 8]
["025341678", 8]
["312765480", 8]
["312508467", 8]
["172305468", 8]
["125634780", 8]
["250134678", 8]
["140632785", 8]
["154328670", 8]
["310482657", 8]
["142508367", 8]
["012745368", 8]
["032614785", 8]
["142765038", 8]
["142638057", 8]
["312648057", 8]
["140752368", 8]
["032418657", 8]
["125604738", 8]
["025138647", 8]
["432605718", 8]
["140382657", 8]
["025148367", 8]
["312647085", 8]
["142387650", 8]
["012348657", 8]
["472105368", 8]
["350421678", 8]
["325641078", 8]
["425138607", 9]
["125360748", 9]
["472015368", 9]
["172365408", 9]
["371042685", 9]
["425013678", 9]
["327410685", 9]
["402158367", 9]
["432075168", 9]
["314072685", 9]
["312058674", 9]
["312764805", 9]
["324610785", 9]
["142568307", 9]
["325641708", 9]
["325480617", 9]
["435021678", 9]
["432170685", 9]
["312568407", 9]
["631042785", 9]
["314520678", 9]
["125468307", 9]
["371482605", 9]
["431072685", 9]
["401532678", 9]
["205341678", 9]
["128340657", 9]
["105327684", 9]
["305428617", 9]
["125764308", 9]
["732015468", 9]
["102364785", 9]
["174320685", 9]
["472165308", 9]
["341620785", 9]
["351072468", 9]
["102548367", 9]
["235140678", 9]
["305621748", 9]
["102385647", 9]
["142658703", 9]
["102358467", 9]
["314572608", 9]
["312680754", 9]
["312760485", 9]
["425173608", 9]
["105428367", 9]
["142638507", 9]
["301752468", 9]
["102375684", 9]
["104632785", 9]
["351642708", 9]
["312087465", 9]
["501342678", 9]
["205138647", 9]
["432650718", 9]
["125638407", 9]
["162350748", 9]
["314652708", 9]
["431572608", 9]
["142758306", 9]
["104752368", 9]
["432065718", 9]
["632145708", 9]
["142087365", 9]
["154632708", 9]
["305214678", 9]
["105724368", 9]
["304512678", 9]
["302518467", 9]
["172350468", 9]
["403152678", 9]
["325710468", 9]
["302618754", 9]
["432018657", 9]
["328410657", 9]
["142683705", 9]
["154370682", 9]
["125387604", 9]
["125064738", 9]
["631052748", 9]
["301482657", 9]
["162345708", 9]
["632715408", 9]
["205174368", 9]
["712045368", 9]
["158320647", 9]
["351470682", 9]
["351620748", 9]
["472150368", 9]
["432158607", 9]
["425170368", 9]
["104652738", 9]
["172035468", 9]
["154072368", 9]
["315028647", 9]
["125037684", 9]
["341682705", 9]
["125370468", 9]
["312648507", 9]
["402137685", 9]
["142580367", 9]
["402165738", 9]
["431652708", 9]
["315624708", 9]
["371420685", 9]
["315240678", 9]
["125630784", 9]
["174382605", 9]
["325470681", 9]
["125480367", 9]
["312580467", 9]
["432610785", 9]
["312068754", 9]
["312084675", 9]
["254130678", 9]
["632150748", 9]
["235014678", 9]
["235174608", 9]
["154328607", 9]
["162035748", 9]
["632014785", 9]
["312647805", 9]
["127340685", 9]
["142637805", 9]
["205148367", 9]
["325018467", 9]
["431520678", 9]
["351428607", 9]
["102643785", 9]
["125740368", 9]
["325061748", 9]
["325071468", 9]
["142760385", 9]
