puzzle,solution,length of solution,time(s),Nodes expanded,,,length of solution,time(s),Nodes expanded,,length of solution,average time(s),average nodes expanded
"(2, 7, 3, 4, 1, 9, 8, 12, 5, 10, 6, 15, 13, 11, 14, 0)","['LEFT', 'LEFT', 'UP', 'UP', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",20,0.000727177,23,,,2,0.000147104,5,,2,0.000119063,3.384615385
"(0, 5, 3, 4, 2, 6, 7, 8, 1, 10, 11, 12, 9, 13, 14, 15)","['DOWN', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",14,0.000575066,21,,,2,0.000166893,5,0.004766054,4,0.000185525,5.911764706
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 12, 10, 13, 15, 11, 0)","['LEFT', 'UP', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN']",10,0.000358105,13,,,2,0.000101328,2,,6,0.000237323,7.986111111
"(1, 2, 3, 4, 9, 5, 7, 8, 6, 15, 10, 11, 13, 0, 12, 14)","['UP', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT']",20,0.000649929,22,,,2,8.94E-05,2,,8,0.00029509,10.01834862
"(1, 3, 5, 2, 6, 10, 8, 4, 9, 11, 12, 15, 13, 14, 7, 0)","['UP', 'LEFT', 'LEFT', 'UP', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'DOWN', 'LEFT', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN']",38,0.39848423,1220,,,2,0.000146627,5,,10,0.000376081,13.06632653
"(1, 2, 3, 4, 5, 13, 6, 7, 0, 10, 15, 8, 9, 11, 14, 12)","['RIGHT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",18,0.001644135,49,,,2,7.58E-05,2,,12,0.000450554,15.51760563
"(1, 6, 2, 4, 9, 5, 3, 8, 13, 11, 0, 12, 14, 7, 10, 15)","['LEFT', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'DOWN', 'LEFT', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",26,0.014652967,199,,,2,0.000163794,5,,14,0.000591461,19.55145119
"(1, 2, 3, 4, 9, 5, 6, 8, 0, 7, 11, 12, 14, 10, 13, 15)","['DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT']",16,0.001532316,46,,,2,8.58E-05,2,,16,0.000728181,23.21641791
"(1, 2, 3, 4, 5, 0, 6, 14, 9, 10, 15, 8, 13, 11, 12, 7)","['RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT']",20,0.00191164,55,,,2,7.63E-05,2,,18,0.001213309,31.22131148
"(7, 2, 6, 4, 1, 10, 12, 0, 8, 5, 3, 11, 9, 13, 14, 15)","['LEFT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",28,0.001060724,32,,,2,0.000161648,5,,20,0.001475448,37.69253731
"(1, 3, 6, 4, 5, 2, 8, 12, 9, 7, 14, 10, 13, 0, 11, 15)","['RIGHT', 'UP', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN']",30,0.031974077,310,,,2,0.000182629,5,,22,0.006390576,63.5173913
"(2, 3, 7, 4, 1, 0, 10, 11, 6, 5, 12, 8, 9, 13, 14, 15)","['RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",18,0.000809193,27,,,2,7.56E-05,2,,24,0.009774794,81.13567839
"(1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15)","['DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",4,0.000106812,4,,,2,7.49E-05,2,,26,0.010105942,105.587156
"(2, 6, 3, 4, 1, 10, 7, 8, 5, 12, 14, 15, 9, 0, 13, 11)","['RIGHT', 'UP', 'LEFT', 'UP', 'UP', 'LEFT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT']",16,0.000664473,24,,,4,0.000106812,4,,28,0.005840585,91.53164557
"(0, 1, 2, 3, 5, 9, 15, 4, 11, 6, 7, 8, 13, 10, 14, 12)","['DOWN', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN']",28,0.067048073,461,,,4,0.000141382,4,,30,0.009239908,122.9692308
"(6, 1, 5, 3, 2, 8, 7, 4, 9, 10, 0, 11, 13, 14, 15, 12)","['UP', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN']",20,0.001113892,35,,,4,0.000127792,4,,32,0.032521152,212.4615385
"(1, 3, 0, 4, 5, 2, 7, 8, 9, 6, 10, 11, 13, 14, 15, 12)","['LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN']",6,0.000248194,8,,,4,0.000204802,7,,34,0.078881889,300.1724138
"(2, 5, 3, 4, 10, 0, 6, 8, 1, 9, 7, 11, 13, 14, 15, 12)","['LEFT', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN']",12,0.000578642,19,,,4,0.000169039,6,,36,0.042129666,261.5
"(1, 2, 8, 3, 5, 6, 7, 4, 0, 9, 10, 12, 13, 14, 11, 15)","['RIGHT', 'RIGHT', 'UP', 'UP', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'DOWN', 'RIGHT']",10,0.000317574,11,,,4,0.000130892,4,,38,0.075526337,385.5833333
"(2, 3, 4, 8, 1, 5, 7, 0, 13, 6, 11, 12, 14, 9, 15, 10)","['UP', 'LEFT', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN']",22,0.001869917,56,,,4,0.000216484,4,,40,0.114614937,436.1111111
"(1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 11, 12, 13, 10, 14, 15)","['LEFT', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",6,0.000189066,6,,,4,0.000384092,7,,42,0.028630535,260
"(2, 3, 7, 4, 5, 1, 6, 8, 10, 11, 14, 12, 9, 0, 13, 15)","['RIGHT', 'UP', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",16,0.000454903,17,,,4,0.000109673,4,,44,0.240109444,884
"(0, 2, 3, 4, 1, 7, 10, 8, 5, 9, 11, 12, 13, 6, 14, 15)","['DOWN', 'DOWN', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN']",14,0.000505447,18,,,4,0.00020051,6,,,,
"(2, 3, 4, 8, 1, 5, 7, 0, 13, 6, 11, 12, 10, 9, 14, 15)","['UP', 'LEFT', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",16,0.000374556,16,,,4,0.000218153,8,,,,
