puzzle,solution,length of solution,time(s)
"(2, 7, 3, 4, 1, 9, 8, 12, 5, 10, 6, 15, 13, 11, 14, 0)","['LEFT', 'LEFT', 'UP', 'UP', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",20,0.007559537887573242
"(0, 5, 3, 4, 2, 6, 7, 8, 1, 10, 11, 12, 9, 13, 14, 15)","['DOWN', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",14,0.0006694793701171875
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 12, 10, 13, 15, 11, 0)","['LEFT', 'UP', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN']",10,0.00027441978454589844
"(1, 2, 3, 4, 9, 5, 7, 8, 6, 15, 10, 11, 13, 0, 12, 14)","['UP', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT']",20,0.029953718185424805
"(1, 3, 5, 2, 6, 10, 8, 4, 9, 11, 12, 15, 13, 14, 7, 0)","['UP', 'LEFT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'UP', 'RIGHT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",28,12.469172716140747
"(1, 2, 3, 4, 5, 13, 6, 7, 0, 10, 15, 8, 9, 11, 14, 12)","['RIGHT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",18,0.015973567962646484
"(1, 6, 2, 4, 9, 5, 3, 8, 13, 11, 0, 12, 14, 7, 10, 15)","['LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT']",16,0.0017039775848388672
"(1, 2, 3, 4, 9, 5, 6, 8, 0, 7, 11, 12, 14, 10, 13, 15)","['DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT']",16,0.006830692291259766
"(1, 2, 3, 4, 5, 0, 6, 14, 9, 10, 15, 8, 13, 11, 12, 7)","['RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT']",20,0.03278183937072754
"(7, 2, 6, 4, 1, 10, 12, 0, 8, 5, 3, 11, 9, 13, 14, 15)","['LEFT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",28,0.1031031608581543
