length of solution,time(s),,length of solution,average time(s)
0,2.53E-05,,0,3.02E-05
0,3.50E-05,,2,5.24E-05
2,5.51E-05,,4,7.75E-05
2,5.60E-05,,6,0.000104996
2,5.53E-05,,8,0.000130881
2,4.70E-05,,10,0.000162808
2,5.63E-05,,12,0.000192613
2,5.56E-05,,14,0.000225393
2,5.67E-05,,16,0.000259554
2,5.56E-05,,18,0.000299391
2,4.65E-05,,20,0.000346948
2,4.70E-05,,22,0.000389508
2,5.63E-05,,24,0.000446665
2,4.63E-05,,26,0.000509573
2,4.55E-05,,28,0.000528656
2,4.60E-05,,30,5.19E-04
2,5.10E-05,,,
2,5.51E-05,,,
2,5.46E-05,,,
2,5.51E-05,,,
2,5.51E-05,,,
4,9.04E-05,,,
4,7.53E-05,,,
4,0.000124216,,,
4,7.61E-05,,,
4,7.63E-05,,,
4,7.75E-05,,,
4,7.68E-05,,,
4,7.75E-05,,,
4,8.11E-05,,,
4,7.82E-05,,,
4,7.63E-05,,,
4,7.84E-05,,,
4,7.70E-05,,,
4,7.89E-05,,,
4,7.84E-05,,,
4,7.77E-05,,,
4,6.70E-05,,,
4,7.63E-05,,,
4,7.56E-05,,,
4,7.68E-05,,,
4,7.77E-05,,,
4,7.82E-05,,,
4,7.77E-05,,,
4,7.72E-05,,,
4,7.72E-05,,,
4,7.49E-05,,,
4,7.70E-05,,,
4,7.61E-05,,,
4,7.61E-05,,,
4,7.65E-05,,,
4,7.65E-05,,,
4,7.53E-05,,,
4,7.63E-05,,,
4,7.49E-05,,,
4,7.89E-05,,,
4,7.80E-05,,,
4,7.75E-05,,,
4,7.72E-05,,,
4,6.60E-05,,,
4,7.56E-05,,,
4,6.70E-05,,,
4,7.58E-05,,,
4,7.70E-05,,,
4,7.63E-05,,,
4,7.77E-05,,,
4,7.68E-05,,,
4,7.72E-05,,,
4,8.49E-05,,,
4,7.75E-05,,,
4,6.60E-05,,,
4,7.72E-05,,,
4,7.77E-05,,,
4,7.80E-05,,,
4,7.61E-05,,,
4,7.75E-05,,,
4,7.56E-05,,,
6,0.000100374,,,
6,9.87E-05,,,
6,0.000133991,,,
6,0.000110388,,,
6,9.56E-05,,,
6,0.000109434,,,
6,0.000137806,,,
6,9.87E-05,,,
6,0.000116587,,,
6,0.000112534,,,
6,0.000109673,,,
6,0.000110626,,,
6,0.000111341,,,
6,0.000110149,,,
6,0.000111818,,,
6,9.75E-05,,,
6,0.000109911,,,
6,0.000110626,,,
6,9.92E-05,,,
6,9.78E-05,,,
6,8.92E-05,,,
6,9.82E-05,,,
6,0.000110865,,,
6,0.000112772,,,
6,9.87E-05,,,
6,9.97E-05,,,
6,9.85E-05,,,
6,0.00011158,,,
6,9.94E-05,,,
6,0.000112772,,,
6,0.000109434,,,
6,9.73E-05,,,
6,9.97E-05,,,
6,0.000103235,,,
6,9.80E-05,,,
6,0.000109911,,,
6,0.000110388,,,
